,latitude,longitude,address
92896,31.23787,121.543207,31.23787-121.543207
93335,31.216092,121.508679,31.216092-121.508679
93350,31.198953,121.516066,31.198953-121.516066
93520,31.204763,121.526768,31.204763-121.526768
94035,31.210657,121.474053,31.210657-121.474053
94037,31.232268,121.541982,31.232268-121.541982
94703,31.248657,121.537875,31.248657-121.537875
94791,31.265604,121.567367,31.265604-121.567367
94800,31.209934,121.604472,31.209934-121.604472
95119,31.19927,121.6228,31.19927-121.6228
95121,31.218016,121.568018,31.218016-121.568018
95133,31.230981,121.542285,31.230981-121.542285
95310,31.266483,121.545252,31.266483-121.545252
95312,31.235908,121.57067,31.235908-121.57067
95318,31.195887,121.591747,31.195887-121.591747
95322,31.25879,121.627202,31.25879-121.627202
95347,31.213561,121.634923,31.213561-121.634923
95508,31.226998,121.556375,31.226998-121.556375
95571,31.281993,121.464732,31.281993-121.464732
95573,31.317624,121.405225,31.317624-121.405225
95578,31.292867,121.42296,31.292867-121.42296
95609,31.190103,121.485774,31.190103-121.485774
95618,31.193771,121.546521,31.193771-121.546521
95619,31.20367,121.543991,31.20367-121.543991
95661,31.178673,121.521509,31.178673-121.521509
95725,31.270809,121.543999,31.270809-121.543999
95820,31.195877,121.597043,31.195877-121.597043
96368,31.256537,121.625952,31.256537-121.625952
96395,31.214969,121.586763,31.214969-121.586763
96413,31.234382,121.531106,31.234382-121.531106
96481,31.265413,121.564718,31.265413-121.564718
96664,31.198113,121.590353,31.198113-121.590353
97517,31.24062,121.428563,31.24062-121.428563
97859,31.216528,121.439617,31.216528-121.439617
97862,31.168501,121.402505,31.168501-121.402505
97874,31.212328,121.407081,31.212328-121.407081
97877,31.2106,121.411728,31.2106-121.411728
98433,31.189816,121.430881,31.189816-121.430881
98627,31.207251,121.407122,31.207251-121.407122
98631,31.188145,121.432275,31.188145-121.432275
98639,31.185044,121.414303,31.185044-121.414303
99362,31.185126,121.451633,31.185126-121.451633
99382,31.214741,121.427168,31.214741-121.427168
99495,31.201321,121.404211,31.201321-121.404211
99511,31.217037,121.43649,31.217037-121.43649
99908,31.188877,121.43412,31.188877-121.43412
100019,31.20414,121.406657,31.20414-121.406657
100208,31.193643,121.402511,31.193643-121.402511
100563,31.238392,121.428006,31.238392-121.428006
100566,31.200428,121.437655,31.200428-121.437655
100588,31.225831,121.36681,31.225831-121.36681
100592,31.234709,121.436318,31.234709-121.436318
100769,31.192457,121.443575,31.192457-121.443575
100779,31.22132,121.438917,31.22132-121.438917
101011,31.21535,121.46606,31.21535-121.46606
101026,31.240405,121.569186,31.240405-121.569186
101028,31.184951,121.409317,31.184951-121.409317
101109,31.193686,121.423417,31.193686-121.423417
101222,31.194107,121.399831,31.194107-121.399831
101298,31.170967,121.40072,31.170967-121.40072
101300,31.169703,121.412163,31.169703-121.412163
101563,31.206761,121.399923,31.206761-121.399923
101564,31.18458,121.420921,31.18458-121.420921
101566,31.225675,121.364645,31.225675-121.364645
101766,31.236743,121.36086,31.236743-121.36086
101787,31.227254,121.402789,31.227254-121.402789
103173,31.299613,121.442959,31.299613-121.442959
103199,31.250767,121.458177,31.250767-121.458177
103248,31.256584,121.4705,31.256584-121.4705
103263,31.249226,121.448568,31.249226-121.448568
103498,31.290912,121.498587,31.290912-121.498587
103808,31.30379,121.455146,31.30379-121.455146
104080,31.238839,121.438593,31.238839-121.438593
104083,31.240865,121.426827,31.240865-121.426827
104084,31.229645,121.481533,31.229645-121.481533
104086,31.29711,121.519384,31.29711-121.519384
104251,31.278753,121.505741,31.278753-121.505741
104309,31.302086,121.510034,31.302086-121.510034
104360,31.362367,121.461011,31.362367-121.461011
104577,31.270571,121.476897,31.270571-121.476897
104612,31.2754,121.485024,31.2754-121.485024
104793,31.291587,121.511561,31.291587-121.511561
104904,31.305124,121.454071,31.305124-121.454071
104965,31.270785,121.465575,31.270785-121.465575
104998,31.314136,121.549429,31.314136-121.549429
105026,31.326513,121.490258,31.326513-121.490258
105029,31.25863,121.490496,31.25863-121.490496
105049,31.301584,121.490912,31.301584-121.490912
105215,31.250986,121.460075,31.250986-121.460075
105364,31.264391,121.519923,31.264391-121.519923
105365,31.273189,121.472745,31.273189-121.472745
105407,31.27726,121.460289,31.27726-121.460289
105409,31.268538,121.49713,31.268538-121.49713
105464,31.285418,121.47179,31.285418-121.47179
105465,31.255248,121.416487,31.255248-121.416487
105740,31.258321,121.496097,31.258321-121.496097
105770,31.284385,121.511361,31.284385-121.511361
105853,31.248866,121.478438,31.248866-121.478438
105869,31.250428,121.460956,31.250428-121.460956
105955,31.307358,121.524928,31.307358-121.524928
108122,30.930847,121.490112,30.930847-121.490112
108844,30.929761,121.587992,30.929761-121.587992
110493,31.128344,121.629697,31.128344-121.629697
110922,30.901446,121.904248,30.901446-121.904248
112176,31.110606,121.517194,31.110606-121.517194
112187,31.08705,121.503604,31.08705-121.503604
114788,31.233983,121.455055,31.233983-121.455055
115500,31.283793,121.518888,31.283793-121.518888
115617,31.22656,121.490417,31.22656-121.490417
115796,31.236926,121.454604,31.236926-121.454604
115821,31.235982,121.466191,31.235982-121.466191
115957,31.217655,121.534591,31.217655-121.534591
115964,31.187859,121.444801,31.187859-121.444801
115965,31.203194,121.46865,31.203194-121.46865
115975,31.236431,121.460781,31.236431-121.460781
115976,31.234835,121.527767,31.234835-121.527767
116011,31.211534,121.510558,31.211534-121.510558
116051,31.235419,121.486195,31.235419-121.486195
116057,31.239743,121.512257,31.239743-121.512257
116085,31.232527,121.530359,31.232527-121.530359
116086,31.234888,121.447606,31.234888-121.447606
116177,31.237221,121.467334,31.237221-121.467334
116296,31.23282,121.468049,31.23282-121.468049
116310,31.241234,121.460559,31.241234-121.460559
116312,31.228956,121.481687,31.228956-121.481687
116346,31.237789,121.461058,31.237789-121.461058
116355,31.234787,121.498324,31.234787-121.498324
116380,31.180043,121.609028,31.180043-121.609028
116399,31.216146,121.472933,31.216146-121.472933
116406,31.225663,121.452017,31.225663-121.452017
116452,31.228906,121.451142,31.228906-121.451142
116571,31.235554,121.479641,31.235554-121.479641
117207,31.039424,121.225364,31.039424-121.225364
117702,31.138666,121.398483,31.138666-121.398483
119786,31.113675,121.383752,31.113675-121.383752
120505,31.136936,121.325876,31.136936-121.325876
121177,30.891706,121.171358,30.891706-121.171358
121234,31.177439,121.108654,31.177439-121.108654
121287,30.806653,121.257345,30.806653-121.257345
121299,30.97167,121.185692,30.97167-121.185692
121340,31.054777,121.166179,31.054777-121.166179
121653,31.15562,121.130864,31.15562-121.130864
121668,35.522852,102.0076,35.522852-102.0076
122397,31.169494,121.302234,31.169494-121.302234
123176,31.179351,121.31286,31.179351-121.31286
123536,31.150865,121.336324,31.150865-121.336324
123673,31.025516,121.30169,31.025516-121.30169
123914,31.152563,121.460663,31.152563-121.460663
125325,30.747936,121.348822,30.747936-121.348822
125650,30.763912,121.333802,30.763912-121.333802
127037,31.25841,121.392912,31.25841-121.392912
129122,31.386162,121.255053,31.386162-121.255053
129307,31.258745,121.370293,31.258745-121.370293
130419,31.399445,121.464161,31.399445-121.464161
130439,31.301105,121.430139,31.301105-121.430139
130594,31.270493,121.353356,31.270493-121.353356
131692,31.270144,121.354637,31.270144-121.354637
131802,31.266108,121.341404,31.266108-121.341404
132121,31.348039,121.147744,31.348039-121.147744
132456,31.37219,121.448243,31.37219-121.448243
132593,31.419608,121.431596,31.419608-121.431596
134193,31.246038,121.531441,31.246038-121.531441
134202,31.230519,121.520449,31.230519-121.520449
134815,31.228956,121.535003,31.228956-121.535003
135004,31.248135,121.539233,31.248135-121.539233
135506,31.228634,121.536498,31.228634-121.536498
135673,31.161442,121.507559,31.161442-121.507559
135885,31.228282,121.556676,31.228282-121.556676
135886,31.233659,121.565806,31.233659-121.565806
136587,31.23301,121.556388,31.23301-121.556388
136724,31.22978,121.540987,31.22978-121.540987
136924,31.256803,121.522183,31.256803-121.522183
